id,source_id,split,label,mentions_disaster_type,reports_event_occurrence,describes_threat_or_danger,mentions_cause_or_trigger,mentions_location,mentions_time_or_recency,includes_source_or_report,first_person_witnessing,mentions_casualties_or_injuries,mentions_property_damage,mentions_infrastructure_disruption,mentions_scale_or_intensity,calls_for_help,mentions_rescue_or_emergency_services,mentions_evacuation_or_shelter,gives_safety_instruction,uses_metaphor_or_idiom,refers_to_entertainment_or_sports,expresses_joke_or_sarcasm,discusses_non_event_context
disaster_00001,7229,train,real disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
disaster_00003,4957,train,real disaster,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00004,5734,train,not disaster,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00005,8515,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00002,1154,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00000,4268,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00006,10382,train,real disaster,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
disaster_00007,8144,train,real disaster,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
disaster_00008,9897,train,not disaster,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00009,10125,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00011,4498,test,not disaster,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00010,10864,train,real disaster,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
disaster_00014,6276,train,real disaster,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00012,1669,train,real disaster,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00013,4884,train,not disaster,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00017,8329,train,real disaster,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00016,6334,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00019,1041,train,not disaster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
disaster_00020,9905,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
disaster_00021,2731,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
disaster_00018,9343,train,real disaster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
disaster_00024,229,train,real disaster,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00022,3548,train,real disaster,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00023,7112,train,not disaster,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00015,4542,train,real disaster,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
disaster_00027,7912,test,not disaster,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
disaster_00026,7996,train,real disaster,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
disaster_00025,2550,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00028,8553,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
disaster_00030,8740,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disaster_00032,8412,train,real disaster,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster_00033,8808,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00031,10052,test,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00029,3829,train,not disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00034,10288,train,real disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00037,8969,train,not disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00035,8908,train,real disaster,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
disaster_00038,8334,train,real disaster,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
disaster_00039,10612,test,real disaster,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
