Dataset,Feature,Annotated entries,Scored entries,Unclear entries,Unclear rate,Agreement,Cohen kappa,Positive agreement,LLM false-positive rate,LLM false-negative rate
ADE,contains_negation_no_event,100,100,0,0.0000,0.9800,0.7396,0.7500,0.0104,0.2500
ADE,contains_uncertainty_or_possible,100,100,0,0.0000,0.9300,0.5536,0.5882,0.0112,0.5455
ADE,describes_indication_or_background,100,100,0,0.0000,0.7600,0.4990,0.6923,0.1404,0.3721
ADE,discusses_general_pharmacology,100,100,0,0.0000,0.9900,0.7951,0.8000,0.0000,0.3333
ADE,links_event_to_medication,100,100,0,0.0000,0.9100,0.8060,0.9291,0.1579,0.0484
ADE,mentions_adverse_reaction,100,100,0,0.0000,0.8500,0.6462,0.8921,0.2581,0.1014
ADE,mentions_dose_or_frequency,100,100,0,0.0000,0.9800,0.8780,0.8889,0.0000,0.2000
ADE,mentions_drug_discontinuation,100,100,0,0.0000,0.9900,0.9038,0.9091,0.0000,0.1667
ADE,mentions_drug_interaction,100,100,0,0.0000,0.9900,0.0000,0.0000,0.0000,1.0000
ADE,mentions_expected_therapeutic_effect,100,100,0,0.0000,0.9400,0.7183,0.7500,0.0000,0.4000
ADE,mentions_lab_or_diagnostic_abnormality,100,100,0,0.0000,0.9500,0.8684,0.9020,0.0270,0.1154
ADE,mentions_medication_or_drug,100,100,0,0.0000,0.9200,0.7416,0.9506,0.0625,0.0833
ADE,mentions_onset_or_duration,100,100,0,0.0000,0.8700,0.5938,0.6667,0.0133,0.4800
ADE,mentions_rechallenge_or_recovery,100,100,0,0.0000,0.9900,0.8837,0.8889,0.0000,0.2000
ADE,mentions_severity,100,100,0,0.0000,0.6000,0.2224,0.3939,0.0208,0.7500
ADE,mentions_study_or_trial_context,100,100,0,0.0000,0.9200,0.6466,0.6923,0.0349,0.3571
ADE,mentions_symptom_or_condition,100,100,0,0.0000,0.9400,0.3802,0.9684,0.0000,0.0612
ADE,mentions_temporal_after_use,100,100,0,0.0000,0.8600,0.6298,0.7200,0.1392,0.1429
ADE,reports_no_drug_link,100,100,0,0.0000,0.9900,0.6622,0.6667,0.0000,0.5000
ADE,states_alternative_cause,100,100,0,0.0000,0.9700,-0.0135,0.0000,0.0102,1.0000
Disaster Tweets,calls_for_help,100,100,0,0.0000,0.9600,0.4845,0.5000,0.0000,0.6667
Disaster Tweets,describes_threat_or_danger,100,100,0,0.0000,0.8300,0.6575,0.7901,0.0000,0.3469
Disaster Tweets,discusses_non_event_context,100,100,0,0.0000,0.7800,0.5563,0.8197,0.0345,0.2958
Disaster Tweets,expresses_joke_or_sarcasm,100,100,0,0.0000,0.9000,0.6615,0.7222,0.0723,0.2353
Disaster Tweets,first_person_witnessing,100,100,0,0.0000,0.8400,0.5604,0.6522,0.0143,0.5000
Disaster Tweets,gives_safety_instruction,100,100,0,0.0000,0.9600,0.5825,0.6000,0.0000,0.5714
Disaster Tweets,includes_source_or_report,100,100,0,0.0000,0.8300,0.5913,0.7018,0.0308,0.4286
Disaster Tweets,mentions_casualties_or_injuries,100,100,0,0.0000,0.9200,0.6885,0.7333,0.0122,0.3889
Disaster Tweets,mentions_cause_or_trigger,100,100,0,0.0000,0.6100,0.1624,0.2642,0.0000,0.8478
Disaster Tweets,mentions_disaster_type,100,100,0,0.0000,0.4700,0.1577,0.5391,0.0000,0.6310
Disaster Tweets,mentions_evacuation_or_shelter,100,100,0,0.0000,1.0000,,,0.0000,
Disaster Tweets,mentions_infrastructure_disruption,100,100,0,0.0000,0.9300,0.5570,0.5882,0.0000,0.5833
Disaster Tweets,mentions_location,100,100,0,0.0000,0.9300,0.8536,0.9114,0.0656,0.0769
Disaster Tweets,mentions_property_damage,100,100,0,0.0000,0.8600,0.3191,0.3636,0.0000,0.7778
Disaster Tweets,mentions_rescue_or_emergency_services,100,100,0,0.0000,0.9200,0.6721,0.7143,0.0000,0.4444
Disaster Tweets,mentions_scale_or_intensity,100,100,0,0.0000,0.6500,0.1883,0.2857,0.0000,0.8333
Disaster Tweets,mentions_time_or_recency,100,100,0,0.0000,0.8500,0.5573,0.6512,0.0658,0.4167
Disaster Tweets,refers_to_entertainment_or_sports,100,100,0,0.0000,0.9100,0.7155,0.7692,0.0130,0.3478
Disaster Tweets,reports_event_occurrence,100,100,0,0.0000,0.9300,0.8114,0.8571,0.0137,0.2222
Disaster Tweets,uses_metaphor_or_idiom,100,100,0,0.0000,0.8200,0.5714,0.7000,0.1286,0.3000
SMS Spam,asks_click_link,100,100,0,0.0000,0.9900,0.8837,0.8889,0.0000,0.2000
