Dataset,Source extractor,Target extractor,Train rows,Test rows,Accuracy,Macro-F1,Positive F1,Source in-domain Macro-F1,Delta vs source in-domain,Target in-domain Macro-F1,Delta vs target in-domain
SMS Spam,DeepSeek V4 Flash,DeepSeek V4 Flash,4000,1000,0.9710,0.9373,0.8914,0.9373,+0.0000,0.9373,+0.0000
SMS Spam,DeepSeek V4 Flash,GPT-4.1 mini,4000,1000,0.9790,0.9522,0.9163,0.9373,+0.0148,0.9442,+0.0080
SMS Spam,DeepSeek V4 Flash,Qwen Plus,4000,1000,0.9740,0.9433,0.9015,0.9373,+0.0059,0.9409,+0.0024
SMS Spam,DeepSeek V4 Flash,Gemini 2.5 Flash,4000,1000,0.9820,0.9594,0.9291,0.9373,+0.0221,0.9555,+0.0039
SMS Spam,GPT-4.1 mini,DeepSeek V4 Flash,4000,1000,0.9640,0.9239,0.8686,0.9442,-0.0203,0.9373,-0.0134
SMS Spam,GPT-4.1 mini,GPT-4.1 mini,4000,1000,0.9750,0.9442,0.9027,0.9442,+0.0000,0.9442,+0.0000
SMS Spam,GPT-4.1 mini,Qwen Plus,4000,1000,0.9750,0.9453,0.9049,0.9442,+0.0011,0.9409,+0.0044
SMS Spam,GPT-4.1 mini,Gemini 2.5 Flash,4000,1000,0.9710,0.9373,0.8914,0.9442,-0.0069,0.9555,-0.0182
SMS Spam,Qwen Plus,DeepSeek V4 Flash,4000,1000,0.9650,0.9258,0.8718,0.9409,-0.0151,0.9373,-0.0116
SMS Spam,Qwen Plus,GPT-4.1 mini,4000,1000,0.9770,0.9480,0.9091,0.9409,+0.0071,0.9442,+0.0038
SMS Spam,Qwen Plus,Qwen Plus,4000,1000,0.9730,0.9409,0.8973,0.9409,+0.0000,0.9409,+0.0000
SMS Spam,Qwen Plus,Gemini 2.5 Flash,4000,1000,0.9780,0.9510,0.9147,0.9409,+0.0102,0.9555,-0.0045
SMS Spam,Gemini 2.5 Flash,DeepSeek V4 Flash,4000,1000,0.9650,0.9262,0.8727,0.9555,-0.0293,0.9373,-0.0111
SMS Spam,Gemini 2.5 Flash,GPT-4.1 mini,4000,1000,0.9730,0.9401,0.8958,0.9555,-0.0154,0.9442,-0.0041
SMS Spam,Gemini 2.5 Flash,Qwen Plus,4000,1000,0.9730,0.9413,0.8981,0.9555,-0.0142,0.9409,+0.0004
SMS Spam,Gemini 2.5 Flash,Gemini 2.5 Flash,4000,1000,0.9800,0.9555,0.9225,0.9555,+0.0000,0.9555,+0.0000
SST-2,DeepSeek V4 Flash,DeepSeek V4 Flash,4000,1000,0.9360,0.9349,0.9433,0.9349,+0.0000,0.9349,+0.0000
SST-2,DeepSeek V4 Flash,GPT-4.1 mini,4000,1000,0.9200,0.9190,0.9281,0.9349,-0.0160,0.9273,-0.0083
SST-2,DeepSeek V4 Flash,Qwen Plus,4000,1000,0.9350,0.9345,0.9401,0.9349,-0.0004,0.9460,-0.0115
SST-2,DeepSeek V4 Flash,Gemini 2.5 Flash,4000,1000,0.9540,0.9534,0.9588,0.9349,+0.0184,0.9593,-0.0059
SST-2,GPT-4.1 mini,DeepSeek V4 Flash,4000,1000,0.9360,0.9350,0.9431,0.9273,+0.0077,0.9349,+0.0001
SST-2,GPT-4.1 mini,GPT-4.1 mini,4000,1000,0.9280,0.9273,0.9345,0.9273,+0.0000,0.9273,+0.0000
SST-2,GPT-4.1 mini,Qwen Plus,4000,1000,0.9320,0.9316,0.9370,0.9273,+0.0043,0.9460,-0.0145
SST-2,GPT-4.1 mini,Gemini 2.5 Flash,4000,1000,0.9560,0.9554,0.9605,0.9273,+0.0281,0.9593,-0.0039
SST-2,Qwen Plus,DeepSeek V4 Flash,4000,1000,0.9390,0.9376,0.9469,0.9460,-0.0084,0.9349,+0.0027
SST-2,Qwen Plus,GPT-4.1 mini,4000,1000,0.9280,0.9259,0.9385,0.9460,-0.0202,0.9273,-0.0014
SST-2,Qwen Plus,Qwen Plus,4000,1000,0.9470,0.9460,0.9532,0.9460,+0.0000,0.9460,+0.0000
SST-2,Qwen Plus,Gemini 2.5 Flash,4000,1000,0.9570,0.9562,0.9620,0.9460,+0.0102,0.9593,-0.0030
SST-2,Gemini 2.5 Flash,DeepSeek V4 Flash,4000,1000,0.9410,0.9397,0.9487,0.9593,-0.0196,0.9349,+0.0047
