Dataset,id,label,y_true,original_pred,original_score,minimal_edit_distance
SMS Spam,sms_spam_00051,ham,0,1,0.2513,1
SMS Spam,sms_spam_00826,ham,0,1,1.7496,1
SMS Spam,sms_spam_00910,ham,0,1,0.9524,1
SMS Spam,sms_spam_01198,ham,0,1,2.4311,1
SMS Spam,sms_spam_01549,ham,0,1,1.2960,1
SMS Spam,sms_spam_01637,ham,0,1,2.4507,1
SMS Spam,sms_spam_01769,ham,0,1,1.7435,1
SMS Spam,sms_spam_02005,ham,0,1,4.8631,3
SMS Spam,sms_spam_02060,ham,0,1,2.2706,1
SMS Spam,sms_spam_02065,spam,1,0,-3.5312,2
SMS Spam,sms_spam_02082,spam,1,0,-0.1673,1
SMS Spam,sms_spam_02348,ham,0,1,0.9874,1
SMS Spam,sms_spam_02410,ham,0,1,2.8692,1
SMS Spam,sms_spam_02552,ham,0,1,1.4602,1
SMS Spam,sms_spam_02913,spam,1,0,-3.5312,2
SMS Spam,sms_spam_02994,ham,0,1,4.2860,2
SMS Spam,sms_spam_03047,ham,0,1,1.4060,1
SMS Spam,sms_spam_03052,ham,0,1,0.2513,1
SMS Spam,sms_spam_03104,spam,1,0,-2.2137,1
SMS Spam,sms_spam_03658,ham,0,1,3.2389,2
SMS Spam,sms_spam_03696,ham,0,1,2.7943,1
SMS Spam,sms_spam_03701,ham,0,1,0.6043,1
SMS Spam,sms_spam_04120,ham,0,1,1.4911,1
SMS Spam,sms_spam_04295,spam,1,0,-2.7750,1
SMS Spam,sms_spam_04348,ham,0,1,1.1474,1
SMS Spam,sms_spam_04571,ham,0,1,2.0068,1
SMS Spam,sms_spam_04574,ham,0,1,0.9524,1
SMS Spam,sms_spam_04596,ham,0,1,0.9932,1
SMS Spam,sms_spam_04657,ham,0,1,2.6315,1
SST-2,sst2_00051,positive,1,0,-3.7083,3
SST-2,sst2_00145,negative,0,1,0.0829,1
SST-2,sst2_00165,negative,0,1,0.0829,1
SST-2,sst2_00209,positive,1,0,-5.1570,
SST-2,sst2_00311,negative,0,1,0.0829,1
SST-2,sst2_00336,negative,0,1,0.0829,1
SST-2,sst2_00340,negative,0,1,0.0829,1
SST-2,sst2_00344,positive,1,0,-3.1489,2
SST-2,sst2_00391,positive,1,0,-0.9130,1
SST-2,sst2_00537,negative,0,1,0.0829,1
SST-2,sst2_00689,negative,0,1,0.0829,1
SST-2,sst2_00722,positive,1,0,-1.1016,1
SST-2,sst2_00761,negative,0,1,0.0829,1
SST-2,sst2_00808,positive,1,0,-3.7094,3
SST-2,sst2_00898,negative,0,1,0.0829,1
SST-2,sst2_00902,positive,1,0,-0.4390,1
