Dataset,Input,Method,seed,Accuracy,Macro-F1,Positive F1
SMS Spam,raw text,TF-IDF + LR,1,0.986,0.967553837453996,0.943089430894309
SMS Spam,raw text,TF-IDF + SVM,1,0.985,0.9651142508285366,0.9387755102040817
SMS Spam,raw text,BERT fine-tuning,1,0.986,0.9684317810789116,0.9448818897637795
SMS Spam,raw text,LLM zero-shot,1,0.973,0.9420151662554039,0.8996282527881041
SMS Spam,raw text,LLM 4-shot,1,0.981,0.9584091272264799,0.9277566539923955
SMS Spam,LLM features,Human-20 + LR,1,0.971,0.9373258902425056,0.8913857677902621
SMS Spam,LLM features,Human-20 + XGBoost,1,0.972,0.9392946032902325,0.8947368421052632
SMS Spam,raw text,TF-IDF + LR,2,0.986,0.967553837453996,0.943089430894309
SMS Spam,raw text,TF-IDF + SVM,2,0.985,0.9651142508285366,0.9387755102040817
SMS Spam,raw text,BERT fine-tuning,2,0.994,0.9861908970393283,0.9758064516129032
SMS Spam,raw text,LLM zero-shot,2,0.973,0.9420151662554039,0.8996282527881041
SMS Spam,raw text,LLM 4-shot,2,0.993,0.9839449173048562,0.9718875502008032
SMS Spam,LLM features,Human-20 + LR,2,0.971,0.9373258902425056,0.8913857677902621
SMS Spam,LLM features,Human-20 + XGBoost,2,0.972,0.9392946032902325,0.8947368421052632
SMS Spam,raw text,TF-IDF + LR,3,0.986,0.967553837453996,0.943089430894309
SMS Spam,raw text,TF-IDF + SVM,3,0.985,0.9651142508285366,0.9387755102040817
SMS Spam,raw text,BERT fine-tuning,3,0.993,0.9838333822181061,0.97165991902834
SMS Spam,raw text,LLM zero-shot,3,0.973,0.9420151662554039,0.8996282527881041
SMS Spam,raw text,LLM 4-shot,3,0.981,0.9581386228488209,0.9272030651340997
SMS Spam,LLM features,Human-20 + LR,3,0.971,0.9373258902425056,0.8913857677902621
SMS Spam,LLM features,Human-20 + XGBoost,3,0.972,0.9392946032902325,0.8947368421052632
SST-2,raw text,TF-IDF + LR,1,0.77,0.7668629072803645,0.7939068100358423
SST-2,raw text,TF-IDF + SVM,1,0.786,0.7848848430262481,0.8003731343283582
SST-2,raw text,BERT fine-tuning,1,0.901,0.9000983879512601,0.9095890410958904
SST-2,raw text,LLM zero-shot,1,0.958,0.9574469809646162,0.9622980251346499
SST-2,raw text,LLM 4-shot,1,0.944,0.9435007728287146,0.9488117001828154
SST-2,LLM features,Human-20 + LR,1,0.936,0.9349339579673368,0.9432624113475178
SST-2,LLM features,Human-20 + XGBoost,1,0.936,0.9349339579673368,0.9432624113475178
SST-2,raw text,TF-IDF + LR,2,0.77,0.7668629072803645,0.7939068100358423
SST-2,raw text,TF-IDF + SVM,2,0.786,0.7848848430262481,0.8003731343283582
SST-2,raw text,BERT fine-tuning,2,0.901,0.897872340425532,0.9157446808510639
SST-2,raw text,LLM zero-shot,2,0.958,0.9574469809646162,0.9622980251346499
SST-2,raw text,LLM 4-shot,2,0.949,0.9485355331870128,0.9534246575342465
SST-2,LLM features,Human-20 + LR,2,0.936,0.9349339579673368,0.9432624113475178
SST-2,LLM features,Human-20 + XGBoost,2,0.936,0.9349339579673368,0.9432624113475178
SST-2,raw text,TF-IDF + LR,3,0.77,0.7668629072803645,0.7939068100358423
SST-2,raw text,TF-IDF + SVM,3,0.786,0.7848848430262481,0.8003731343283582
SST-2,raw text,BERT fine-tuning,3,0.902,0.9014306635124478,0.9089219330855018
SST-2,raw text,LLM zero-shot,3,0.958,0.9574469809646162,0.9622980251346499
SST-2,raw text,LLM 4-shot,3,0.952,0.9515902599603041,0.9560439560439561
SST-2,LLM features,Human-20 + LR,3,0.936,0.9349339579673368,0.9432624113475178
SST-2,LLM features,Human-20 + XGBoost,3,0.936,0.9349339579673368,0.9432624113475178
ADE,raw text,TF-IDF + LR,1,0.835,0.7623132538451234,0.6308724832214765
ADE,raw text,TF-IDF + SVM,1,0.847,0.7648754685202062,0.6259168704156479
ADE,raw text,BERT fine-tuning,1,0.861,0.8163685628263917,0.7258382642998028
ADE,raw text,LLM zero-shot,1,0.738,0.7018987456991499,0.598159509202454
ADE,raw text,LLM 4-shot,1,0.658,0.6336117312809877,0.5390835579514824
ADE,LLM features,Human-20 + LR,1,0.798,0.7576589373464373,0.6587837837837838
ADE,LLM features,Human-20 + XGBoost,1,0.801,0.7610238267650913,0.6632825719120136
ADE,raw text,TF-IDF + LR,2,0.835,0.7623132538451234,0.6308724832214765
ADE,raw text,TF-IDF + SVM,2,0.847,0.7648754685202062,0.6259168704156479
ADE,raw text,BERT fine-tuning,2,0.918,0.8732933228671558,0.7980295566502463
ADE,raw text,LLM zero-shot,2,0.738,0.7018987456991499,0.598159509202454
ADE,raw text,LLM 4-shot,2,0.729,0.6956557383492861,0.5949177877428998
ADE,LLM features,Human-20 + LR,2,0.798,0.7576589373464373,0.6587837837837838
ADE,LLM features,Human-20 + XGBoost,2,0.801,0.7610238267650913,0.6632825719120136
ADE,raw text,TF-IDF + LR,3,0.835,0.7623132538451234,0.6308724832214765
ADE,raw text,TF-IDF + SVM,3,0.847,0.7648754685202062,0.6259168704156479
ADE,raw text,BERT fine-tuning,3,0.926,0.8812206663199594,0.8082901554404145
ADE,raw text,LLM zero-shot,3,0.738,0.7018987456991499,0.598159509202454
ADE,raw text,LLM 4-shot,3,0.777,0.7400541573266843,0.6420545746388443
ADE,LLM features,Human-20 + LR,3,0.798,0.7576589373464373,0.6587837837837838
ADE,LLM features,Human-20 + XGBoost,3,0.801,0.7610238267650913,0.6632825719120136
Disaster Tweets,raw text,TF-IDF + LR,1,0.779,0.7720180528691167,0.7321212121212122
Disaster Tweets,raw text,TF-IDF + SVM,1,0.771,0.7644301936712989,0.7250900360144058
Disaster Tweets,raw text,BERT fine-tuning,1,0.812,0.8092532467532467,0.7863636363636364
Disaster Tweets,raw text,LLM zero-shot,1,0.795,0.7711213157509844,0.6971935007385525
Disaster Tweets,raw text,LLM 4-shot,1,0.828,0.8171115534459585,0.7724867724867724
Disaster Tweets,LLM features,Human-20 + LR,1,0.816,0.8073411402053912,0.766497461928934
Disaster Tweets,LLM features,Human-20 + XGBoost,1,0.816,0.8066414459857083,0.764102564102564
Disaster Tweets,raw text,TF-IDF + LR,2,0.779,0.7720180528691167,0.7321212121212122
Disaster Tweets,raw text,TF-IDF + SVM,2,0.771,0.7644301936712989,0.7250900360144058
Disaster Tweets,raw text,BERT fine-tuning,2,0.819,0.8097058430819664,0.7676508344030809
Disaster Tweets,raw text,LLM zero-shot,2,0.795,0.7711213157509844,0.6971935007385525
Disaster Tweets,raw text,LLM 4-shot,2,0.827,0.8194107361883138,0.7823899371069183
Disaster Tweets,LLM features,Human-20 + LR,2,0.816,0.8073411402053912,0.766497461928934
Disaster Tweets,LLM features,Human-20 + XGBoost,2,0.816,0.8066414459857083,0.764102564102564
Disaster Tweets,raw text,TF-IDF + LR,3,0.779,0.7720180528691167,0.7321212121212122
