id,source_id,split,label
ade_00000,train_16638,train,non_ade
ade_00001,train_2662,train,non_ade
ade_00002,train_1998,train,non_ade
ade_00003,test_5327,test,non_ade
ade_00004,train_1338,test,non_ade
ade_00005,train_4500,train,non_ade
ade_00006,train_7956,train,non_ade
ade_00007,train_8199,train,non_ade
ade_00008,train_5626,train,non_ade
ade_00009,test_3213,train,non_ade
ade_00010,test_2104,train,ade
ade_00011,test_1666,train,non_ade
ade_00012,train_7720,train,non_ade
ade_00013,train_15792,train,non_ade
ade_00014,test_4695,train,non_ade
ade_00015,test_3655,train,ade
ade_00016,train_8686,train,ade
ade_00017,train_11676,train,non_ade
ade_00018,train_16600,train,non_ade
ade_00019,train_13775,train,non_ade
ade_00020,train_2637,train,non_ade
ade_00021,train_8698,test,non_ade
ade_00022,train_10364,train,ade
ade_00023,train_5587,test,non_ade
ade_00024,test_890,test,non_ade
ade_00025,train_12154,train,non_ade
ade_00026,test_546,train,non_ade
ade_00027,test_4688,train,non_ade
ade_00028,train_3098,train,non_ade
ade_00029,train_8502,test,non_ade
ade_00030,train_987,train,ade
ade_00031,test_5459,test,non_ade
ade_00032,test_1680,train,non_ade
ade_00033,train_4200,train,non_ade
ade_00034,test_5473,train,non_ade
ade_00035,train_9412,train,non_ade
ade_00036,train_1197,train,non_ade
ade_00037,test_1885,train,non_ade
ade_00038,train_13556,train,ade
ade_00039,train_11950,test,non_ade
ade_00040,train_11451,train,non_ade
ade_00041,test_3234,train,non_ade
ade_00042,train_1649,train,non_ade
ade_00043,train_11250,test,non_ade
ade_00044,train_14746,train,non_ade
ade_00045,train_12611,test,ade
ade_00046,train_1136,train,non_ade
ade_00047,train_11867,test,non_ade
ade_00048,test_1997,train,non_ade
ade_00049,train_16386,test,non_ade
ade_00050,test_3544,train,non_ade
ade_00051,train_14707,train,non_ade
ade_00052,test_2660,train,non_ade
ade_00053,train_16853,train,non_ade
ade_00054,train_3559,train,non_ade
ade_00055,train_2567,test,non_ade
ade_00056,train_9415,test,non_ade
ade_00057,train_3505,train,non_ade
ade_00058,train_7841,train,non_ade
ade_00059,train_16492,test,ade
ade_00060,train_3052,test,non_ade
ade_00061,train_3173,train,non_ade
ade_00062,train_9266,train,non_ade
ade_00063,train_9635,train,ade
ade_00064,train_14109,train,non_ade
ade_00065,train_16072,train,non_ade
ade_00066,train_6340,test,non_ade
ade_00067,test_3556,test,non_ade
ade_00068,train_2313,train,ade
ade_00069,train_1006,train,non_ade
ade_00070,train_11130,train,ade
ade_00071,train_2016,train,non_ade
ade_00072,test_2182,test,non_ade
ade_00073,train_13284,train,non_ade
ade_00074,test_1651,train,non_ade
ade_00075,test_4628,train,ade
ade_00076,train_8022,train,non_ade
ade_00077,train_1938,train,non_ade
ade_00078,train_13688,train,non_ade
ade_00079,test_3698,train,non_ade
ade_00080,train_13095,train,non_ade
ade_00081,train_15295,test,non_ade
ade_00082,train_14249,train,non_ade
ade_00083,train_6002,test,non_ade
ade_00084,train_4268,train,ade
ade_00085,train_9424,train,non_ade
ade_00086,test_3260,train,ade
ade_00087,train_17251,train,non_ade
ade_00088,train_14976,test,non_ade
ade_00089,test_1939,train,non_ade
ade_00090,train_11161,train,non_ade
ade_00091,train_8269,train,ade
ade_00092,test_5263,train,non_ade
ade_00093,train_14350,train,non_ade
ade_00094,test_1568,train,non_ade
ade_00095,test_4282,test,non_ade
ade_00096,train_10703,train,non_ade
ade_00097,train_16476,test,non_ade
ade_00098,train_7674,train,non_ade
ade_00099,test_4250,test,non_ade
ade_00100,train_11726,train,non_ade
ade_00101,train_17466,train,non_ade
ade_00102,train_2592,test,ade
ade_00103,train_30,train,non_ade
ade_00104,train_4173,train,ade
ade_00105,train_8360,train,ade
ade_00106,test_5549,train,non_ade
ade_00107,train_14207,train,non_ade
ade_00108,train_1028,train,non_ade
ade_00109,train_16888,train,ade
ade_00110,train_5595,train,non_ade
ade_00111,train_7273,train,non_ade
ade_00112,test_3918,train,non_ade
ade_00113,train_10756,train,ade
ade_00114,train_4653,train,non_ade
ade_00115,train_11716,test,non_ade
ade_00116,train_7289,test,non_ade
ade_00117,train_379,train,non_ade
ade_00118,train_5030,train,non_ade
ade_00119,train_16664,train,non_ade
ade_00120,test_5229,test,ade
ade_00121,train_14575,train,non_ade
ade_00122,test_1611,test,non_ade
ade_00123,train_17171,train,non_ade
ade_00124,train_8447,test,non_ade
ade_00125,train_13792,train,non_ade
ade_00126,train_12792,train,non_ade
ade_00127,train_9650,train,non_ade
ade_00128,test_156,train,non_ade
ade_00129,train_12598,train,non_ade
ade_00130,train_131,test,non_ade
ade_00131,test_1558,test,non_ade
ade_00132,test_4267,train,non_ade
ade_00133,train_1425,train,ade
ade_00134,train_16070,train,non_ade
ade_00135,train_6253,train,non_ade
ade_00136,train_2870,train,non_ade
ade_00137,train_5289,train,non_ade
ade_00138,train_11654,train,non_ade
ade_00139,train_2068,test,ade
ade_00140,train_4788,test,non_ade
ade_00141,train_946,train,ade
ade_00142,train_12656,train,non_ade
ade_00143,test_317,train,ade
ade_00144,train_3609,test,non_ade
ade_00145,train_8542,train,non_ade
ade_00146,test_4801,test,non_ade
ade_00147,train_13552,test,non_ade
ade_00148,test_926,test,non_ade
ade_00149,test_9,train,non_ade
ade_00150,train_15837,train,non_ade
ade_00151,train_6538,train,non_ade
ade_00152,train_11725,test,non_ade
ade_00153,test_429,train,ade
ade_00154,train_11192,train,ade
ade_00155,test_2964,train,non_ade
ade_00156,test_2031,test,non_ade
ade_00157,train_10780,train,non_ade
ade_00158,train_7000,train,non_ade
ade_00159,train_2910,train,ade
ade_00160,train_10577,train,ade
ade_00161,train_3181,train,ade
ade_00162,train_216,train,ade
ade_00163,train_15074,train,non_ade
ade_00164,train_7287,test,non_ade
ade_00165,train_7135,train,non_ade
ade_00166,train_15808,train,non_ade
ade_00167,train_17543,train,ade
ade_00168,test_46,train,non_ade
ade_00169,test_962,train,non_ade
ade_00170,train_10363,train,non_ade
ade_00171,test_5747,train,non_ade
ade_00172,train_17071,train,non_ade
ade_00173,train_3744,train,non_ade
