Dataset,Feature set,#Features,Macro-F1,Delta Macro-F1 vs all
SMS Spam,top-5,5,0.9373,0.0
SMS Spam,top-10,10,0.9315,-0.005800000000000027
SMS Spam,top-15,15,0.9338,-0.0035000000000000586
SMS Spam,All,20,0.9373,0.0
SST-2,top-5,5,0.892,-0.04289999999999994
SST-2,top-10,10,0.897,-0.037899999999999934
SST-2,top-15,15,0.9387,0.0038000000000000256
SST-2,All,20,0.9349,0.0
ADE,top-5,5,0.7595,0.0017999999999999128
ADE,top-10,10,0.7639,0.006199999999999983
ADE,top-15,15,0.7586,0.0009000000000000119
ADE,All,20,0.7577,0.0
Disaster Tweets,top-5,5,0.7935,-0.013800000000000034
Disaster Tweets,top-10,10,0.8093,0.0020000000000000018
Disaster Tweets,top-15,15,0.8082,0.0009000000000000119
Disaster Tweets,All,20,0.8073,0.0
