Dataset,Input,Method,Accuracy,Macro-F1,Positive F1
SMS Spam,raw text,TF-IDF + LR,0.9860 ± 0.0000,0.9676 ± 0.0000,0.9431 ± 0.0000
SMS Spam,raw text,TF-IDF + SVM,0.9850 ± 0.0000,0.9651 ± 0.0000,0.9388 ± 0.0000
SMS Spam,raw text,Frozen DistilBERT embedding + LR,0.9900 ± 0.0000,0.9773 ± 0.0000,0.9603 ± 0.0000
SMS Spam,raw text,RoBERTa embedding + LR,0.9890 ± 0.0000,0.9749 ± 0.0000,0.9562 ± 0.0000
SMS Spam,raw text,DistilBERT fine-tuning,0.9910 ± 0.0044,0.9795 ± 0.0096,0.9641 ± 0.0168
SMS Spam,raw text,LLM zero-shot,0.9730 ± 0.0000,0.9420 ± 0.0000,0.8996 ± 0.0000
SMS Spam,raw text,LLM 4-shot,0.9850 ± 0.0069,0.9668 ± 0.0148,0.9423 ± 0.0256
SMS Spam,ASB features,ASB-LR (ours),0.9710 ± 0.0000,0.9373 ± 0.0000,0.8914 ± 0.0000
SMS Spam,ASB features,ASB-XGB (ours),0.9720 ± 0.0000,0.9393 ± 0.0000,0.8947 ± 0.0000
SST-2,raw text,TF-IDF + LR,0.7700 ± 0.0000,0.7669 ± 0.0000,0.7939 ± 0.0000
SST-2,raw text,TF-IDF + SVM,0.7860 ± 0.0000,0.7849 ± 0.0000,0.8004 ± 0.0000
SST-2,raw text,Frozen DistilBERT embedding + LR,0.8650 ± 0.0000,0.8642 ± 0.0000,0.8749 ± 0.0000
SST-2,raw text,RoBERTa embedding + LR,0.8970 ± 0.0000,0.8961 ± 0.0000,0.9059 ± 0.0000
SST-2,raw text,DistilBERT fine-tuning,0.9013 ± 0.0006,0.8998 ± 0.0018,0.9114 ± 0.0038
SST-2,raw text,LLM zero-shot,0.9580 ± 0.0000,0.9574 ± 0.0000,0.9623 ± 0.0000
SST-2,raw text,LLM 4-shot,0.9483 ± 0.0040,0.9479 ± 0.0041,0.9528 ± 0.0037
SST-2,ASB features,ASB-LR (ours),0.9360 ± 0.0000,0.9349 ± 0.0000,0.9433 ± 0.0000
SST-2,ASB features,ASB-XGB (ours),0.9360 ± 0.0000,0.9349 ± 0.0000,0.9433 ± 0.0000
ADE,raw text,TF-IDF + LR,0.8350 ± 0.0000,0.7623 ± 0.0000,0.6309 ± 0.0000
ADE,raw text,TF-IDF + SVM,0.8470 ± 0.0000,0.7649 ± 0.0000,0.6259 ± 0.0000
ADE,raw text,Frozen DistilBERT embedding + LR,0.8350 ± 0.0000,0.7843 ± 0.0000,0.6796 ± 0.0000
ADE,raw text,RoBERTa embedding + LR,0.8320 ± 0.0000,0.7783 ± 0.0000,0.6693 ± 0.0000
ADE,raw text,DistilBERT fine-tuning,0.9017 ± 0.0354,0.8570 ± 0.0354,0.7774 ± 0.0449
ADE,raw text,LLM zero-shot,0.7380 ± 0.0000,0.7019 ± 0.0000,0.5982 ± 0.0000
ADE,raw text,LLM 4-shot,0.7213 ± 0.0599,0.6898 ± 0.0535,0.5920 ± 0.0515
ADE,ASB features,ASB-LR (ours),0.7980 ± 0.0000,0.7577 ± 0.0000,0.6588 ± 0.0000
ADE,ASB features,ASB-XGB (ours),0.8010 ± 0.0000,0.7610 ± 0.0000,0.6633 ± 0.0000
Disaster Tweets,raw text,TF-IDF + LR,0.7790 ± 0.0000,0.7720 ± 0.0000,0.7321 ± 0.0000
Disaster Tweets,raw text,TF-IDF + SVM,0.7710 ± 0.0000,0.7644 ± 0.0000,0.7251 ± 0.0000
Disaster Tweets,raw text,Frozen DistilBERT embedding + LR,0.8180 ± 0.0000,0.8139 ± 0.0000,0.7864 ± 0.0000
Disaster Tweets,raw text,RoBERTa embedding + LR,0.8330 ± 0.0000,0.8290 ± 0.0000,0.8028 ± 0.0000
Disaster Tweets,raw text,DistilBERT fine-tuning,0.8197 ± 0.0080,0.8133 ± 0.0066,0.7797 ± 0.0104
Disaster Tweets,raw text,LLM zero-shot,0.7950 ± 0.0000,0.7711 ± 0.0000,0.6972 ± 0.0000
Disaster Tweets,raw text,LLM 4-shot,0.8323 ± 0.0084,0.8234 ± 0.0090,0.7838 ± 0.0120
Disaster Tweets,ASB features,ASB-LR (ours),0.8160 ± 0.0000,0.8073 ± 0.0000,0.7665 ± 0.0000
Disaster Tweets,ASB features,ASB-XGB (ours),0.8160 ± 0.0000,0.8066 ± 0.0000,0.7641 ± 0.0000
